Sevilla, Getafe, 1, 17, 3, 0, 4, 1, 1, 4, 3, 0, 0, 4, 1
Athletic, Osasuna, 11, 10, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Deportivo, Almería, 19, 2, 0, 3, 0, 3, 3, 0, -3, 0, 0, 0, 3
Racing, Barcelona, 13, 12, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Mallorca, Levante, 4, 18, 3, 0, 3, 0, 0, 3, 3, 0, 0, 3, 0
R. Madrid, At. Madrid, 5, 15, 3, 0, 2, 1, 1, 2, 3, 0, 0, 2, 1
Espanyol, Valladolid, 16, 7, 0, 3, 0, 1, 1, 0, -3, 0, 0, 0, 1
Recreativo, Betis, 9, 8, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1
Valencia, Villarreal, 20, 3, 0, 3, 0, 3, 3, 0, -3, 0, 0, 0, 3
Murcia, Zaragoza, 6, 14, 3, 0, 2, 1, 1, 2, 3, 0, 0, 2, 1
Zaragoza, Racing, 14, 13, 0, 1, 1, 0, 2, 0, -1, 0, 0, 1, 1
Betis, Espanyol, 8, 16, 1, 0, 1, 0, 1, 1, 1, 0, 0, 2, 2
Villarreal, R. Madrid, 3, 5, 3, 3, 3, 2, 0, 1, 0, 0, 0, 0, 5
Getafe, Recreativo, 17, 9, 0, 1, 1, 1, 4, 1, -1, 0, 0, 1, 1
Barcelona, Athletic, 12, 11, 1, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1
Levante, Murcia, 18, 6, 0, 3, 0, 2, 3, 1, -3, 0, 0, 0, 0
At. Madrid, Mallorca, 15, 4, 0, 3, 1, 3, 2, 0, -3, 0, 0, 1, 1
Osasuna, Sevilla, 10, 1, 1, 3, 0, 4, 0, 1, -2, 0, 0, 1, 1
Valladolid, Deportivo, 7, 19, 3, 0, 1, 0, 0, 3, 3, 0, 0, 2, 2
Almería, Valencia, 2, 20, 3, 0, 3, 0, 0, 3, 3, 0, 0, 1, 2
Sevilla, Recreativo, 1, 9, 3, 1, 4, 1, 1, 1, 2, 0, 0, 4, 1
Athletic, Zaragoza, 11, 14, 1, 0, 0, 1, 0, 2, 1, 0, 0, 1, 1
Deportivo, Betis, 19, 8, 0, 1, 0, 1, 3, 1, -1, 0, 0, 1, 0
Racing, Levante, 13, 18, 1, 0, 0, 0, 0, 3, 1, 0, 0, 1, 0
Mallorca, Villarreal, 4, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 1
R. Madrid, Almería, 5, 2, 3, 3, 2, 3, 1, 0, 0, 0, 0, 3, 1
Espanyol, Getafe, 16, 17, 0, 0, 0, 1, 1, 4, 0, 0, 0, 1, 0
Osasuna, Barcelona, 10, 12, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Valencia, Valladolid, 20, 7, 0, 3, 0, 1, 3, 0, -3, 0, 0, 2, 1
Murcia, At. Madrid, 6, 15, 3, 0, 2, 1, 1, 2, 3, 0, 0, 1, 1
Zaragoza, Osasuna, 14, 10, 0, 1, 1, 0, 2, 0, -1, 0, 0, 2, 1
Betis, Valencia, 8, 20, 1, 0, 1, 0, 1, 3, 1, 0, 0, 1, 2
Villarreal, Murcia, 3, 6, 3, 3, 3, 2, 0, 1, 0, 0, 0, 2, 0
Getafe, Deportivo, 17, 19, 0, 0, 1, 0, 4, 3, 0, 0, 0, 0, 0
Barcelona, Sevilla, 12, 1, 1, 3, 0, 4, 0, 1, -2, 0, 0, 2, 1
At. Madrid, Racing, 15, 13, 0, 1, 1, 0, 2, 0, -1, 0, 0, 4, 0
